State	Organization	URL	LH_Perf	LH_A11y	LH_BP	LH_SEO	axe_violations	AuditStatus	Facebook	Instagram	YouTube	LinkedIn
Michigan	Michigan Nature Association	https://michigannature.org	58.0	66.0	75.0	83.0	6	OK	http://www.facebook.com/michigannature	http://instagram.com/michigannature	http://youtube.com/michigannature	
Michigan	North Oakland Headwaters Land Conservancy	https://nohlc.org	58.0	86.0	100.0	75.0	4	OK				
Michigan	Saginaw Basin Land Conservancy	https://www.sblc-mi.org	52.0	97.0	100.0	92.0	3	OK	https://www.facebook.com/saginawland/	https://www.instagram.com/saginaw_basin_land_conservancy/	https://www.youtube.com/@Saginawland	
Michigan	Six Rivers Land Conservancy	https://sixriversrlc.org	56.0	96.0	100.0	100.0	2	OK				
Michigan	Southwest Michigan Land Conservancy	https://swmlc.org	60.0	74.0	100.0	85.0	7	OK	https://www.facebook.com/people/Southwest-Michigan-Land-Conservancy/100066287876111/	https://www.instagram.com/swmlc/	https://www.youtube.com/channel/UC1CUkXeWfhF13ZR2dpkldmA	
Michigan	Upper Peninsula Land Conservancy	https://uplc.org	38.0	70.0	79.0	77.0	10	OK				
Minnesota	Minnesota Land Trust	https://mnland.org	53.0	82.0	96.0	92.0	8	OK	https://www.facebook.com/MinnesotaLandTrust	https://www.instagram.com/mnlandtrust/	https://www.youtube.com/@mnlandtrust	https://www.linkedin.com/company/minnesota-land-trust/
Minnesota	Northern Waters Land Trust	https://northernwaterslandtrust.org	62.0	90.0	100.0	85.0	5	OK				
Mississippi	Land Trust for the Mississippi Coastal Plain	https://ltmcp.org	51.0	94.0	100.0	92.0	3	OK	https://www.facebook.com/LandTrustMSCoastalPlain	https://www.instagram.com/landtrustms/		http://www.linkedin.com/in/land-trust-ltmcp
Missouri	Ozark Regional Land Trust	https://orlt.org	56.0	88.0	96.0	83.0	3	OK				
Montana	Bitter Root Land Trust	https://www.bitterrootlandtrust.org	55.0	92.0	100.0	92.0	3	OK				
Montana	Five Valleys Land Trust	https://www.fvlt.org	56.0	87.0	100.0	100.0	5	OK	https://www.facebook.com/FiveValleysLandTrust/	https://www.instagram.com/fivevalleyslandtrust/		
Montana	Flathead Land Trust	https://www.flatheadlandtrust.org	36.0	86.0	100.0	69.0	6	OK	https://www.facebook.com/flatheadlandtrust	https://www.instagram.com/flatheadlandtrust/	https://www.youtube.com/@flatheadlandtrust1297	
Montana	Gallatin Valley Land Trust	https://gvlt.org	49.0	92.0	96.0	92.0	3	OK				
